artist_id,artist_name,dma_id,dma_name,start_date,end_date,st_order_value,st_num_tickets,st_event_count,st_avg_price
7087,JJ Grey & Mofro,71,"Roanoke-Lynchburg, VA",2024-04-15,2024-04-21,3067.9861,27.27,1.01,78.20196923076924
7373,Josh Turner,200,"Seattle-Tacoma, WA",2025-08-25,2025-08-31,6143.547199999999,34.34,1.01,104.70038749999999
18603,Death Cab for Cutie,20,"Charleston, SC",2022-10-03,2022-10-09,5014.639900000001,72.72,1.01,43.91306857142857
23133,Kevin Morby,62,"Jacksonville, FL",2022-10-17,2022-10-23,195.4249,2.02,1.01,66.66
4416,Luke Bryan,45,"Norfolk-Portsmouth-Newport News, VA",2024-09-16,2024-09-22,34429.031500000005,237.35,1.01,93.4225515151515
4998,Train,74,"Salisbury, MD",2023-08-21,2023-08-27,7131.620099999999,22.22,1.01,239.12984444444447
15795,Houndmouth,192,"Eugene, OR",2025-01-27,2025-02-02,1290.7497,14.14,1.01,57.71897499999999
12571,Ziggy Marley,86,"Chicago, IL",2025-09-29,2025-10-05,10831.159199999998,69.69,1.01,100.11576129032258
4224,Coldplay,101,"Dallas-Ft. Worth, TX",2022-05-02,2022-05-08,207724.89209999997,960.51,1.01,160.99238802992514
4261,Nicki Minaj,2,"New York, NY",2024-03-25,2024-03-31,66804.7835,236.34,2.02,222.48489189830505
18335,Phil Wickham,207,"Sacramento-Stockton-Modesto, CA",2025-04-21,2025-04-27,5237.940800000001,50.5,1.01,70.931795
6781,YUNGBLUD,25,"Atlanta, GA",2022-01-24,2022-01-30,3681.9348000000005,86.86,2.02,23.747684411764705
18846,Teddy Swims,100,"New Orleans, LA",2025-08-04,2025-08-10,21851.7136,106.05,1.01,133.02352291666665
7344,Noah Kahan,101,"Dallas-Ft. Worth, TX",2023-01-23,2023-01-29,983.9521000000001,5.05,1.01,144.66566666666665
19167,The Avett Brothers,149,"La Crosse-Eau Claire, WI",2025-08-25,2025-08-31,5885.593199999998,34.34,1.01,93.83506
4416,Luke Bryan,39,"Rochester, NY",2022-07-11,2022-07-17,57752.3252,378.75,1.01,105.94567594936709
10069,Trans-Siberian Orchestra,67,"Greenville-Spartanburg, SC-Asheville, NC-Ande",2023-11-13,2023-11-19,56467.7769,389.86,2.02,103.92328625687158
1170,deadmau5,205,"Las Vegas, NV",2025-08-25,2025-08-31,213.1504,2.02,1.01,68.55879999999999
5414,Koe Wetzel,61,"Raleigh-Durham (Fayetteville), NC",2022-10-17,2022-10-23,13885.358800000002,121.2,1.01,77.85352539682539
4619,Jon Pardi,182,"El Paso, TX",2025-04-21,2025-04-27,17820.5309,110.09,1.01,105.81629069767442
10505,Tower Of Power,11,"Cleveland-Akron (Canton), OH",2024-06-10,2024-06-16,1964.7126,14.14,1.01,95.77998333333333
18422,A.R. Rahman,117,"Memphis, TN",2022-08-22,2022-08-28,6175.8268,54.54,1.01,84.55142857142856
4407,5 Seconds of Summer,28,"Indianapolis, IN",2023-08-28,2023-09-03,2515.162599999999,39.39,1.01,47.48683333333333
6206,Dar Williams,79,"Charlottesville, VA",2024-05-06,2024-05-12,756.0254,6.0600000000000005,1.01,75.75
4194,Bad Bunny,29,"Miami-Fort Lauderdale, FL",2022-08-08,2022-08-14,482665.0115000001,1250.38,2.02,300.362696705224
18829,Reba McEntire,119,"Lafayette, LA",2022-10-10,2022-10-16,91864.0652,375.72,1.01,184.10462361111112
18398,Anderson .Paak,2,"New York, NY",2024-10-07,2024-10-13,4401.751700000001,34.34,1.01,104.26903333333334
18335,Phil Wickham,194,"Los Angeles, CA",2025-07-28,2025-08-03,21719.221799999996,164.63,1.01,84.71201641791045
18603,Death Cab for Cutie,198,"Reno, NV",2025-07-21,2025-07-27,6038.5375,72.72,1.01,56.36620624999999
15599,Pancho Barraza,177,"Idaho Falls-Pocatello, ID",2024-08-05,2024-08-11,5589.5622,35.35,1.01,97.57105
19558,Two Friends,134,"Madison, WI",2025-01-20,2025-01-26,4714.1447,48.480000000000004,1.01,56.763122222222215
19772,Howard Jones,194,"Los Angeles, CA",2024-08-19,2024-08-25,3318.5570000000002,18.18,1.01,120.62051250000002
3322,Sammy Hagar,98,"Houston, TX",2021-12-06,2021-12-12,9302.3828,45.45,1.01,144.88702500000002
6300,Cyndi Lauper,194,"Los Angeles, CA",2024-11-18,2024-11-24,10777.6999,85.85,1.01,93.46008421052632
